place_name,alternate_names,admin_level_2,admin_level_1,admin_level_0,continent,notes,feature_type,ambigous_county,latitude,longitude,matched_name
Virgin Islands,['Danish West Indian Islands'],,,,,,,,44.36682,-75.98266,Virgin Island
Virginia,[],,Virginia,,,later State | Colony,,,37.54812,-77.44675,Virginia
Wabash River,"['Wobash', 'Wapaasch', 'Wabbassch']",,Indiana,,,,H,,37.80843,-88.02813,Wabash River
Wajomik,"['Wyoming', 'Pennsylvania']",,,,,,,,42.95008,-82.11651,Wyoming
Walhanding River,['Walhanding'],Coshocton County,Ohio,,,also White Woman's Creek,H,,40.27535,-81.87374,Walhonding River
Wapwallopen,"['also Wambhallobank', 'Womphallepang', 'Waabhallobank', 'Waquallopank', 'etc.']",Luzerne County,Pennsylvania,,,Hollenback Township,,,41.07453,-76.13076,Wapwallopen
Wapwallopen,[],,,,,,,,41.07453,-76.13076,Wapwallopen
Warpoles,[],,,,,also Mittesagi,,,40.79922,-83.35492,Warpole Creek
Warren,[],,Ohio,,,,,,41.23756,-80.81842,Warren
Warwick,[],,Pennsylvania,,,,,,40.1651,-75.78382,Warwick
Warwick,[],,Ohio,,,,,,40.92228,-81.64096,Warwick
Warwick,['Warrick'],,New York,,,,,,41.25648,-74.35988,Warwick
Warwick,[],Chester County,Pennsylvania,,,,,,40.1651,-75.78382,Warwick
Washington,[],,Washington,,,District of Columbia,,,47.50012,-120.50147,Washington
Washington County,['including also Beaver County'],Washington County,Pennsylvania,,,,,,40.1894,-80.24824,Washington County
Washington County,[],Washington County,Ohio,,,,,,39.45532,-81.49525,Washington County
Washington County,[],Washington County,Pennsylvania,,,,,,40.1894,-80.24824,Washington County
Weh-to-pi-jah-neek,['Delaware'],,,,,Alder River,,,42.91679,-81.41646,Delaware
West Alexander,['Alexandria'],Washington County,Pennsylvania,,,,,,40.10507,-80.50785,West Alexander
West River,[],,,,,,H,,51.18339,-56.7648,West River
Westminster,[],,,,,Enland | London | Liberty of,,,45.47171,-73.84487,Westminster
Westmoreland County,[],Westmoreland County,Pennsylvania,,,,,,40.31073,-79.46696,Westmoreland County
Wheeling,"['Wuhling', 'Wilunk', 'Wiluck']",,West Virginia,,,,,,40.06396,-80.72091,Wheeling
Whi-a-lu-sis,['Delaware'],,,,,an old man,,,42.91679,-81.41646,Delaware
White Clay River,[],,,,,,H,,39.69761,-75.62187,White Clay Creek
White River,"['q.v.', 'also White Clay River', 'Woapikamik', 'also Woapicamikunk', 'Woapicamikunk']",,Indiana,,,,H,,38.41421,-87.74253,White River
White Woman's Creek,"['Walbonding River', 'Walhonding Creek']",Coshocton County,Ohio,,,,H,,40.17368,-81.74735,White Eyes Creek
Whitewater River,[],,,,,Indiana and Ohio,H,,49.03348,-80.24973,Whitewater River
Wilawana,[],,,,,,,,41.98757,-76.61717,Wilawana
Wilawana,"['Wilawane', 'Wilawanunk', 'Wilawunk']",Bradford County,Pennsylvania,,,,,,41.98757,-76.61717,Wilawana
Wilkes-Barre,[],,Pennsylvania,,,,,,41.24591,-75.88131,Wilkes-Barre
Williamsburg,[],,New York,,,County | Livingston | near Mount Morris,,,40.71427,-73.95347,Williamsburg
Williamsburg,[],,Virginia,,,,,,37.2707,-76.70746,Williamsburg
Wilmington,[],,Delaware,,,,,,39.74595,-75.54659,Wilmington
Windsor,[],,,,,England,,,48.94994,-55.66492,Windsor
Wintering Place,[],,,,,,,,47.2416,-53.94393,Watering Place
Woapicamikunk White River,['Wabicamigunk'],,Indiana,,,,H,,38.41421,-87.74253,White River
Wolf Mountain,[],,,,,Pocono Mountains,T,,48.13327,-56.81502,Wolf Mountain
Wood Creek,[],Oneida County,New York,,,,H,,43.38701,-75.47045,Wood Creek
Woodbury,[],Litchfield County,Connecticut,,,,,,41.54454,-73.209,Woodbury
Wooster,[],Wayne County,Ohio,,,,,,40.80517,-81.93646,Wooster
Wulunk,"['Wheeling', 'West Virginia']",,,,,,,,36.32034,-91.8632,Wheeling
Wurtemberg,[],,,Germany,,,,,50.3146,11.2628,Wirtemberg
Wyalusing,['Wihilusing'],,,,,,,,41.66813,-76.26188,Wyalusing
Wyalusing,"['Wiolousing', 'Wihilusing']",Bradford County,Pennsylvania,,,Friedenshutten,,,41.66813,-76.26188,Wyalusing
Wyalusing Creek,['Wichlusing'],Bradford County,Pennsylvania,,,,H,,41.66174,-76.26632,Wyalusing Creek
Wyalusing Creek,[],,,,,,H,,41.66174,-76.26632,Wyalusing Creek
Wyalusing Island,[],Bradford County,Pennsylvania,,,,,,41.66813,-76.26188,Wyalusing
Wyoming,[],,Wyoming,,,,,,41.47747,-105.63666,Wyoming
Yellow Creek,[],Jefferson County,Ohio,,,,H,,40.5734,-80.66702,Yellow Creek
York,['Yorktown'],York,Pennsylvania,,,,,York,39.9626,-76.72774,York
York,['Toronto'],York,Ontario,,,,,,44.00011,-79.46632,York
York County,[],York County,Pennsylvania,,,,,,39.91996,-76.72651,York County
Yorktown,"['presumably York', 'Pennsylvania']",,Virginia,,,,,,37.23858,-76.50894,Yorktown
Youngstown,[],Youngstown,Ohio,,,,,Youngstown,41.09978,-80.64952,Youngstown
Zanesville,[],,Ohio,,,Muskingum Co | Licking,,,39.94035,-82.01319,Zanesville
Zurich,[],,,Switzerland,,,,,47.36667,8.55,Zurich
