place_name,alternate_names,admin_level_2,admin_level_1,admin_level_0,continent,notes,feature_type,ambigous_county,latitude,longitude,matched_name
Copenhagen,[],,,Denmark,,,,,55.67594,12.56553,Copenhagen
Cornelius Creek,[],,,,,tributary to Muskingum River,H,,34.71259,-87.84614,Cornelius Creek
Cornwall,[],Litchfield County,Connecticut,,,,,,41.84371,-73.32928,Cornwall
Coshocton,[],,,,,former Goschachgunk,,,40.27202,-81.85958,Coshocton
Cranberry,"['also Crambarry', 'Cramburry', 'etc.']",,New Jersey,,,,,,39.85206,-74.1932,Cranberry Hill
Credit River,[],,Ontario,,,,H,,43.55206,-79.59372,Credit River
Croton River,['Groodens Revier'],,,,,,H,,41.18371,-73.87958,Croton River
Cumberland County,[],Cumberland County,Pennsylvania,,,,,,40.16363,-77.26555,Cumberland County
Cunningham Island,[],,Ontario,,,probably Pelee Island,,,45.4168,-75.74935,Cunningham Island
Cuyahoga River,[],,,,,,H,,41.50366,-81.71235,Cuyahoga River
Cuyahoga River and place,"['Cajihaga', 'Cayahaga', 'Gajahaga']",,Ohio,,,Akron,H,,41.50366,-81.71235,Cuyahoga River
Damascus,[],,,,,8 miles from Goschgoschunk | place on Allegheny River,,,45.462,-65.80302,Damascus
Danbury,['Tenburey'],Fairfield County,Connecticut,,,,,,41.39482,-73.45401,Danbury
Dansville,['Danville'],Livingston County,New York,,,,,,42.5609,-77.69611,Dansville
Dartmouth College,[],,,,,,,,43.70035,-72.28641,Dartmouth College
Dartmouth College,[],Hanover,New Hampshire,,,,,Hanover,43.70035,-72.28641,Dartmouth College
Dauphin County,['Dauphiny'],Dauphin County,Pennsylvania,,,,,,40.41544,-76.77947,Dauphin County
Deer Creek,[],Pickaway County,Ohio,,,,H,,39.61213,-83.24082,Deer Creek Lake
Delaware River,[],,,,,Water Gap,H,,39.43261,-75.52881,Delaware River
Delaware River Valley,[],,,,,,T,,41.36509,-74.68961,Delaware River Gorge
Derby,[],New Haven County,Connecticut,,,,,,41.32065,-73.089,Derby
Detroit,[],,Michigan,,,City and Fort,,,42.33143,-83.04575,Detroit
Detroit River,[],,,,,,H,,42.04116,-83.14986,Detroit River
Detroit River Island,[],,,,,,H,,42.04116,-83.14986,Detroit River
Dry Ridge,[],,Pennsylvania,,,,,,39.98091,-78.65807,Dry Ridge
Dublin,[],,,Ireland,,,,,53.33306,-6.24889,Dublin
Dundas,[],,Ontario,,,,,,43.27291,-79.94216,Dundas
Dungannon,[],,Ontario,,,,,,45.05012,-77.7495,Dungannon
Dutchess County,[],Dutchess County,New York,,,,,,41.76515,-73.74286,Dutchess County
East Indies,[],,,,,,,,42.06318,-73.19284,East Indies Pond
Easton,[],,Pennsylvania,,,,,,41.12728,-79.54088,Easton
Elizabeth,['Elizabeth Point'],,New Jersey,,,,,,40.66399,-74.2107,Elizabeth
Elizabethtown,[],Lancaster County,Pennsylvania,,,,,,40.15287,-76.60275,Elizabethtown
Emmaus,[],,Pennsylvania,,,,,,40.53954,-75.49685,Emmaus
England,[],,,,,,,,34.54426,-91.96903,England
Ephrata,[],Lancaster County,Pennsylvania,,,,,,40.17982,-76.17884,Ephrata
Esopus,[],Ulster County,New York,,,Sopus & Kingston & Kingston & Kingston | Sopus,,,41.82787,-73.96514,Esopus
Europe,[],,,,Europe,,,,45.27262,-86.98636,Europe Lake
Eva Creek,[],,,,,,H,,51.03466,-127.34628,Eva Creek
Fairfield,['Old Fairfield'],,Connecticut,,,,,,41.14121,-73.26373,Fairfield
Falls of the Ohio,[],,,,,,H,,38.27201,-85.75218,Falls of the Ohio
Fannetsburg,[],Franklin County,Pennsylvania,,,,,,40.06509,-77.82944,Fannettsburg
Farmington,"['Firmingtown', 'Vermonthaun']",Hartford County,Connecticut,,,,,,41.71982,-72.83204,Farmington
Fayette County,[],Fayette County,Pennsylvania,,,,,,39.9199,-79.64737,Fayette County
Ferry House,[],,,,,Thames River,,,41.68611,-73.89444,Ferry House
Fighting Island,[],,,,,below Detroit,,,42.21679,-83.11655,Fighting Island
Forks of the Road,[],,,,,,,,36.01201,-89.15896,Forks of the River
Fort Cumberland,[],,Maryland,,,,,,39.65056,-78.76583,Fort Cumberland (historical)
Fort Edward,[],Washington County,New York,,,,,,43.26702,-73.58456,Fort Edward
Fort Erie,[],,Ontario,,,,,,42.90012,-78.93286,Fort Erie
Fort Hamilton,[],,,,,,,,40.61872,-74.0332,Fort Hamilton
Fort Harmer,[],,Ohio,,,mouth of Muskingum River,,,39.40972,-81.45833,Fort Harmer (historical)
Fort Hunter,[],,New York,,,,,,42.74313,-73.94262,Fort Hunter
Fort Laurena,[],,,,,,,,40.63978,-81.45762,Fort Laurens Cemetery
Fort Laurens,"['Laurence', 'Lawrence']",,Ohio,,,near Bolivar,,,40.63978,-81.45762,Fort Laurens Cemetery
Fort Ligonier,[],,,,,,,,40.24063,-79.23725,Fort Ligonier
Fort Littleton,[],,Pennsylvania,,,Futon County,,,40.06286,-77.96361,Fort Littleton
Fort Loudoun,[],Franklin County,Pennsylvania,,,,,,39.91481,-77.90472,Fort Loudon
Fort McIntosh,[],,,,,Ohio River at Beaver Creak,,,27.51585,-99.52115,Fort McIntosh
Fort McIntosh,[],,,,,Ohio River,,,27.51585,-99.52115,Fort McIntosh
Fort Meigs,[],,Ohio,,,Weed County | Maumee River rapids,,,41.55172,-83.64021,Fort Meigs Cemetery
Fort Ontario,[],,New York,,,Oswego,,,43.46833,-76.50583,Fort Ontario Cemetery
Fort Oswego,[],,New York,,,,,,43.46139,-76.51444,Fort Oswego (historical)
Fort Pitt,[],,,,,,,,53.65018,-109.75154,Fort Pitt
Fort Plain,[],,New York,,,,,,42.93146,-74.62264,Fort Plain
Fort Schuyler,"['Skulker', 'Skuyler']",,New York,,,Utica,,,43.10229,-75.21905,Fort Schuyler Park
Fort Stanwix,[],,New York,,,Rome & original name of Fort Schuyler,,,43.21694,-75.45333,Fort Stanwix Park
Fort Wabash,"['Vincennes', 'Indiana']",,,,,,,,38.67727,-87.52863,Vincennes
Fort Wayne,[],,Indiana,,,Kikeyuak | also Gigeyunk,,,41.1306,-85.12886,Fort Wayne
Forty Mile Creek,[],,,,,,H,,43.20011,-79.54961,Forty Mile Creek
Four Brothers,['Vier Bruder'],,,,,,,,49.23299,-121.65255,Four Brothers
Four Mile Creek,[],Butler County,Ohio,,,,H,,39.42506,-84.54356,Four Mile Creek
France,[],,,France,,,,,45.60366,-0.84802,France
Franckfurth,['Frankford'],Philadelphia County,Pennsylvania,,,,,,40.01384,-75.07859,Frankford
Frederickstown,['Friedrickstown'],Montgomery County,Pennsylvania,,,,,,40.30288,-75.52935,Frederick
Freehold,[],,New York,,,Greens County,,,42.35925,-74.04986,Freehold
Freehold,[],Monmouth County,New Jersey,,,,,,40.26011,-74.27376,Freehold
Frenchtown,[],,Pennsylvania,,,,,,41.612,-80.02172,Frenchtown
Friedenshutten,[],,Pennsylvania,,,Bethlehem & Wyalusing | on Susquehanna,,,40.73454,-75.61602,Friedens
Friedensthal,[],,Pennsylvania,,,near Nazareth,,,40.73454,-75.61602,Friedens
Gallipolis,['Galliopolis'],,Ohio,,,Gallis County | O & Gallis County,,,38.8098,-82.20237,Gallipolis
Ganawacu,[],,,,,,,,35.68924,-90.64317,Ganaway Creek
Genesee River,"['Chennessee', 'Tscheneshee']",,New York,,,,H,,43.2584,-77.60222,Genesee River
Geneseo,[],,,,,,,,38.51612,-98.15672,Geneseo
Geneseo,"['Zoneschio', 'Zonesschio']",Livingston County,New York,,,,,,42.7959,-77.81695,Geneseo
Genessie River,['Chenessie'],,New York,,,near Rochester,H,,43.2584,-77.60222,Genesee River
Geneva,[],Ontario County,New York,,,,,,42.86896,-76.97774,Geneva
Georgetown,[],,,,,District of Columbia,,,47.49989,-53.21478,Georgetown
Georgetown,[],Beaver County,Pennsylvania,,,,,,40.64145,-80.49784,Georgetown
Georgia,[],,Georgia,,,,,,32.75042,-83.50018,Georgia
Germantown,[],,Pennsylvania,,,,,,39.76927,-77.14804,Germantown
Germantown,[],Montgomery County,,,,Pennsylvania,,Montgomery County,45.66819,-64.81549,Germantown
Gigeijunk,['Maumee'],,Indiana,,,Fort Wayne | town at the Forks of Miami River,,,39.02116,-86.26165,Maumee
Gigeyunk,['Fort Wayne'],,,,,,,,41.1306,-85.12886,Fort Wayne
Glass House,['?'],,,,,Highlands New York,,,37.2207,-76.78524,Glass House
Gnadenfroi,[],,,Germany,,,,,48.71312,11.17083,Gnadenfeld
Gnadenhutten,['White settlement'],Tuscarawas County,Ohio,,,,,,40.3584,-81.43428,Gnadenhutten
Gnadenhutten,['M.'],,Ohio,,,on Muskingum River,,,40.3584,-81.43428,Gnadenhutten
Goshen,[],,New York,,,,,,41.40204,-74.32432,Goshen
Gothenburg,[],,,Sweden,,,,,57.70066,11.94737,Gothenburg Port
Grace Half,['Fulneck'],,,,,England | Yorkshire,,,41.18371,-73.86541,Grace Hall
Graceham,[],,Maryland,,,,,,39.61427,-77.38165,Graceham
Grand River,[],,Ohio,,,,H,,41.76032,-81.28066,Grand River
Grand River,['Schwago'],,Ontario,,,,H,,42.85011,-79.56631,Grand River
Grand River,[],,Ohio,,,Cuyahoga River,H,,41.76032,-81.28066,Grand River
Granville,[],Licking County,Ohio,,,,,,40.06812,-82.5196,Granville
Great Beaver Creek,[],,,,,,H,,54.44988,-123.66985,Great Beaver Creek
Great Creek,"['Ohio River', 'Lehigh River']",,,,,,H,,34.78822,-76.48631,Great Creek
Great Island,[],Clinton County,Pennsylvania,,,in West Branch Susquehanna River & below Lock Haven | West Branch Susquehanna,,,41.14007,-77.40692,Great Island
Great Island,[],,,,,,,,47.23879,-52.77995,Great Island
Great Lakes,"['Laks', 'Lacks']",,,,,,,,42.30919,-87.85007,Great Lakes
Great Miami,[],,Ohio,,,,,,39.10867,-84.81439,Great Miami River
Great Miami River,[],,,,,,H,,39.10867,-84.81439,Great Miami River
Green Bay,[],,Wisconsin,,,,H,,45.02971,-87.46094,Green Bay
Greenland,[],,,Greenland,,,,,72.0,-40.0,Greenland
Greensburg,[],Westmoreland County,Pennsylvania,,,,,,40.30146,-79.53893,Greensburg
Greentown,[],,Ohio,,,near Mansfield | Sambesink | Penexit's Town | also Armstrong's Town,,,40.25146,-80.76842,Greentown
Greenville,[],Darke County,Ohio,,,,,,40.10283,-84.63301,Greenville
Greenwich,[],,Connecticut,,,County | Fairfield,,,41.02649,-73.62846,Greenwich
Greenwich,[],Washington County,New York,,,,,,43.09063,-73.49873,Greenwich
Guernsey County,[],Guernsey County,Ohio,,,,,,40.05205,-81.49426,Guernsey County
Gulf of Lawrence,[],,,,,,H,,49.00003,-58.99849,Gulf of St. Lawrence
Hagerstown,[],,Maryland,,,,,,39.64176,-77.71999,Hagerstown
Hamilton,[],Hamilton,Ohio,,,,,Hamilton,39.3995,-84.56134,Hamilton
Hannastown,[],,Pennsylvania,,,,,,40.35368,-79.49671,Hannastown
Harrisburg,[],,Pennsylvania,,,,,,40.2737,-76.88442,Harrisburg
Harrison's Ferry,"['Harrisburg', 'Pennsylvania']",,Pennsylvania,,,Harrisburg | Harris Ferry,,,40.2737,-76.88442,Harrisburg
Hartford,[],,Connecticut,,,,,,41.76371,-72.68509,Hartford
Havanna,['Awanna'],,,,,,,,35.3673,-88.10031,Havanna Church
Hebron,[],Lebanon County,Pennsylvania,,,,,,40.33898,-76.3994,Hebron
Heidelberg,[],Berks County,Pennsylvania,,,,,,40.36093,-76.13161,Heidelberg Cemetery
Herrnbaag,[],,,Germany,,,,,49.7043,12.25063,Herrnbach
Herrnhut,[],,,Germany,,,,,51.01624,14.74381,Herrnhut
Hickory Tavern,[],,New Jersey,,,,,,40.74649,-74.4321,Hickory Tree
Hocking River,[],,,,,tribut. of Ohio River,H,,39.18424,-81.7543,Hocking River
Hokendaugua Creek,[],Northampton County,Pennsylvania,,,,H,,40.67676,-75.48991,Hokendauqua Creek
Holland,[],,,,,,,,48.9168,-65.41542,Holland
Holsbon River,[],,Tennessee,,,,H,,35.95925,-83.85018,Holston River
Hope,[],,New Jersey,,,,,,40.91121,-74.96739,Hope
Hope,['Hoop'],,,Suriname,,,,,5.91667,-56.41667,Hope
Hopedale,[],,,,,Labrador,,,55.46737,-60.20319,Hopedale
Horn River,['Eskenne'],,,,,,H,,61.50026,-118.01951,Horn River
Horseshoe Fall,[],,Ontario,,,Niagara River,,,43.07732,-79.07501,Horseshoe Falls
Housatonic River,[],,Connecticut,,,,H,,41.16926,-73.10844,Housatonic River
Hudson,[],Summit County,Ohio,,,,,,41.24006,-81.44067,Hudson
Hudson,[],,,,,,,,45.45008,-74.14922,Hudson
Hudson Bay,[],,,,,,H,,44.68342,-76.28269,Hudson Bay
Hudson River,['North River'],,New York,,,,H,,40.69677,-74.0282,Hudson River
Humber River,[],,Ontario,,,,H,,43.63342,-79.4663,Humber River
Hurley,[],Ulster County,New York,,,,,,41.92454,-74.06125,Hurley
Huron River,['Petquotting River'],,,,,O,H,,46.90992,-88.03679,Huron River
Huron River,"['al', 'Petquotting']",,Ohio,,,,H,,41.3981,-82.54906,Huron River
Huron River,['Clinton'],,Michigan,,,,H,,46.90992,-88.03679,Huron River
Huron River Macomb County,['Clinton River'],,Michigan,,,,H,,46.90992,-88.03679,Huron River
Hutberg,[],,,Germany,,hill near Herrnhut,,,52.05,14.65,Hutberg
Illinois,[],,Illinois,,,,,,40.00032,-89.25037,Illinois
Illinois River,[],,,,,,H,,35.48926,-95.09774,Illinois River
Industry,[],,Ohio,,,place on Mahony Creek,,,41.07728,-81.19427,Industry
Islington,[],,,,,England,,,47.76659,-53.48139,Islington
