place_name,alternate_names,admin_level_2,admin_level_1,admin_level_0,continent,notes
Fort Meigs,[],,Ohio,,,Weed County | Maumee River rapids
Fort Miami,[],,Ohio,,,Weed County | Maumee River rapids
Fort Niagara,[],Niagara County,New York,,,near Youngstown
Fort Norris,[],Monroe County,Pennsylvania,,,
Fort Ontario,[],,New York,,,Oswego
Fort Oswego,[],,New York,,,
Fort Pitt,[],,,,,
Fort Plain,[],,New York,,,
Fort Schlosser,['Slosser'],Niagara County,New York,,,
Fort Schlosser,[],,,,,
Fort Schuyler,"['Skulker', 'Skuyler']",,New York,,,Utica
Fort Stanwix,[],,New York,,,Rome & original name of Fort Schuyler
Fort Wabash,"['Vincennes', 'Indiana']",,,,,
Fort Wayne,[],,Indiana,,,Kikeyuak | also Gigeyunk
Forty Mile Creek,[],,,,,
Four Brothers,['Vier Bruder'],,,,,
Four Mile Creek,[],Butler County,Ohio,,,
France,[],,,France,,
Franckfurth,['Frankford'],Philadelphia County,Pennsylvania,,,
Frederickstown,['Friedrickstown'],Montgomery County,Pennsylvania,,,
Fredrickstown,[],,,,,
Freehold,[],,New York,,,Greens County
Freehold,[],Monmouth County,New Jersey,,,
Frenchtown,[],,Pennsylvania,,,
Friedenshutten,[],,Pennsylvania,,,Bethlehem & Wyalusing | on Susquehanna
Friedensth also,[],,,,,
Friedensthal,[],,Pennsylvania,,,near Nazareth
Fulneck,['Fulnec'],,,,,England & England
Gachnawage,[],,,,,
Gachtochwawunk,[],,,,,
Gallipolis,['Galliopolis'],,Ohio,,,Gallis County | O & Gallis County
Galloway's Island,[],,Pennsylvania,,,Delaware River
Ganatissege,[],,,,,
Ganatocheracht,[],,,,,
Ganawacu,[],,,,,
Garochiati,[],,New York,,,Seneca town on Pemidhannek Creek
Gawunschiechgunk,[],,,,,St. Marys River
Geisterborg,['Demons Hill'],Union County,Pennsylvania,,,Otsinachson
Gekelemukpechunk,['Gegelemukpechunk'],,Ohio,,,Newcomerstown | Kek ke la muk paechung | Kekaelemapaechunk | Kekelamukpechen | Kakelamukpechung
Gekelemukpechunk Creek,[],,,,,Stillwater Creek
Gekelemukpechunk Delaware Center,"['Kekelemukpeachunk', 'Kikeelmukpechunk']",,Ohio,,,Newcomerstown
Genesee,[],,New York,,,
Genesee River,"['Chennessee', 'Tscheneshee']",,New York,,,
Geneseo,[],,,,,
