place_name,alternate_names,admin_level_2,admin_level_1,admin_level_0,continent,notes,feature_type
Cleveland,['Cleveland'],,Ohio,,,,
Clinton River,[],,Michigan,,,,H
Codorus Creek,['Catores'],York County,Pennsylvania,,,,H
Cohocten Creek,[],Steuben County,New York,,,,H
Columbia,[],Hamilton County,Ohio,,,,
Coneecachegue [?] Franklin County,['Canjoschikker'],,Pennsylvania,,,,
Conestoga,[],Lancaster County,Pennsylvania,,,,
Conewago,[],Livingston County,New York,,,Avon,
Conewago Hills,[],Dauphin County,Pennsylvania,,,,T
Conitshaggery,[],,,,,,
Connecticut,[],,Connecticut,,,,
Connytown,[],Lancaster County,Pennsylvania,,,modern Bainbridge,
Conrad Weiser's Creek,['Tulpehocken Creek'],Berks County,Pennsylvania,,,,H
Copenhagen,[],,,Denmark,,,
Corentyn,[],,,Suriname,South America,,
Cornelius Creek,[],,,,,tributary to Muskingum River,H
Cornwall,[],Litchfield County,Connecticut,,,,
Coschachkung,[],,,,,Coschachkunk,
Coschkoschingk,[],,,,,,
Coschosching,[],,,,,Coschkoschunk,
Coshocton,[],,,,,former Goschachgunk,
Cranberry,"['also Crambarry', 'Cramburry', 'etc.']",,New Jersey,,,,
Credit River,[],,Ontario,,,,H
Croton River,['Groodens Revier'],,,,,,H
Crown Point,[],Essex County,New York,,,,S
Cumberland County,[],Cumberland County,Pennsylvania,,,,
Cunameg,[],,,,,,
Cunningham Island,[],,Ontario,,,probably Pelee Island,
Cushietunk,"['Geschiachton', 'Gechachton']",Wayne County,Pennsylvania,,,near Milenville,
Cuyahoga,['Cayahaga'],,Ohio,,,River and area,
Cuyahoga Old Town,[],,,,,,
Cuyahoga River,[],,,,,,H
Cuyahoga River and place,"['Cajihaga', 'Cayahaga', 'Gajahaga']",,Ohio,,,Akron,H
Damascus,[],,,,,8 miles from Goschgoschunk | place on Allegheny River,
Danbury,['Tenburey'],Fairfield County,Connecticut,,,,
Dansburry,[],,,,,,
Dansburry,['Danesberg'],Monroe County,Pennsylvania,,,modern Stroudsburg,
