person,years,factoid_lons,factoid_lats
"Haber, Zacharias; Rhinebeck, New York.","['1742', '1743']","['-73.59901', '-73.59901']","['41.92815', '41.92815']"
"Hafner, Johann Jacob.","['1755', '1755']","['-81.43428', '-78.73031']","['40.3584', '40.86173']"
"Haga, Godfrey, Jr.","['1803', '1810']","['-74.32432', '-88.26673']","['41.40204', '48.96681']"
"Haga, Gottfried.",['1818'],['11.2628'],['50.3146']
"Hagen, Johann Joachim, missionary.","['1806', '1806']","['-74.32432', '-73.26373']","['41.40204', '41.14121']"
"Hagen, Johann Joachim.","['1809', '1805', '1810', '1810', '1806', '1806']","['-73.26373', '-74.32432', '-78.73031', '-83.05925', '-73.26373', '-73.26373']","['41.14121', '41.40204', '40.86173', '42.28318', '41.14121', '41.14121']"
"Hagen, Johannes.","['1747', '1745', '1746', '1746', '1747', '1747', '1747', '1746', '1747', '1746', '1745', '1745', '1745', '1745', '1745', '1745', '1745', '1745', '1743', '1747', '1747', '1746', '1746', '1746']","['-76.88442', '-73.59901', '-73.59901', '-78.73031', '-81.43428', '-78.73031', '-81.43428', '-73.59901', '-76.55885', '-73.59901', '-76.55885', '-73.74286', '-73.59901', '-75.30962', '-78.73031', '-78.73031', '-73.59901', '-73.59901', '-73.59901', '-81.43428', '-78.73031', '-73.59901', '-73.59901', '-73.59901']","['40.2737', '41.92815', '41.92815', '40.86173', '40.3584', '40.86173', '40.3584', '41.92815', '40.78897', '41.92815', '40.78897', '41.76515', '41.92815', '40.74038', '40.86173', '40.86173', '41.92815', '41.92815', '41.92815', '40.3584', '40.86173', '41.92815', '41.92815', '41.92815']"
"Hagen, John Joachim; Neuwied.",['1804'],['-74.32432'],['41.40204']
"Hagen, John.","['1812', '1812', '1812', '1812', '1805', '1805', '1804', '1805', '1810', '1805', '1806', '1812', '1812', '1806', '1806', '1806', '1806', '1806', '1806']","['-78.73031', '-81.44567', '-74.32432', '-78.73031', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-74.32432', '-81.43428', '-81.43428', '-74.32432', '-74.32432', '-73.26373', '-81.43428', '-82.54906', '-73.26373', '-73.26373', '-73.26373']","['40.86173', '40.48979', '41.40204', '40.86173', '40.3584', '40.3584', '40.3584', '40.3584', '41.40204', '40.3584', '40.3584', '41.40204', '41.40204', '41.14121', '40.3584', '41.3981', '41.14121', '41.14121', '41.14121']"
"Haidt (""Heide""), Johann Valentine, painter.",['1754'],['-81.43428'],['40.3584']
"Haldiman, British general; Quebec.",['1782'],['-88.03679'],['46.90992']
"Haman, Adam; New Fairfield.",['1821'],['-74.32432'],['41.40204']
"Hamilton, Henry.","['1778', '1778']","['-83.04575', '-76.40302']","['42.33143', '39.94677']"
"Hamilton, James, governor.",['1763'],['-78.73031'],['40.86173']
"Hamilton, Presbyterian.",['1745'],['-73.59901'],['41.92815']
Hamilton.,['1811'],['-74.32432'],['41.40204']
"Hanke, Matthaeus; Gnadenthal.","['1750', '1749']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Hantsch, Johann Georg, Jr.","['1750', '1750', '1750', '1750', '1750', '1750', '1750', '1750', '1749', '1749', '1749', '1747', '1750']","['-78.73031', '-75.52935', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-81.43428', '-78.73031', '-81.43428', '-81.43428', '-78.73031']","['40.86173', '40.30288', '40.86173', '40.3584', '40.86173', '40.86173', '40.86173', '40.86173', '40.3584', '40.86173', '40.3584', '40.3584', '40.86173']"
"Harris, John, justice; Salisbury, Conn.",['1757'],['-75.4999'],['43.00035']
"Harris, Timothy, Congregational minister; Granville, O.",['1811'],['-74.32432'],['41.40204']
"Harris, wife of William Harris; Susquehanna Valley, Pa.",['1748'],['-76.55885'],['40.78897']
"Harrison, Presbyterian minister; Zanesville.","['1813', '1814']","['-74.32432', '-82.01319']","['41.40204', '39.94035']"
"Harrison, William Henry.","['1813', '1813']","['-83.04985', '-73.26373']","['42.08339', '41.14121']"
"Harrow, capt.","['1802', '1803']","['-76.82644', '-83.04575']","['44.49736', '42.33143']"
"Harsen, Bernardus, son of widow Harsen.",['1802'],['-73.26373'],['41.14121']
"Harsen, James, son of widow Harsen.",['1802'],['-73.26373'],['41.14121']
"Harsen, widow.",['1802'],['-73.26373'],['41.14121']
"Hartmann, from near Nazareth.",['1799'],['-74.32432'],['41.40204']
"Hasselmann, Bartholomaus; Bethlehem.","['1748', '1749']","['-86.98636', '-81.43428']","['45.27262', '40.3584']"
"Haven, Johann Benjamin, missionary, s. Jons and Maria (Butterworth), Haven.","['1802', '1802']","['-74.32432', '-81.43428']","['41.40204', '40.3584']"
"Haven, John Benjamin.","['1802', '1802', '1805', '1803', '1803']","['-74.32432', '-74.32432', '-88.03679', '-82.54906', '-88.03679']","['41.40204', '41.40204', '46.90992', '41.3981', '46.90992']"
"Haven, John.","['1807', '1803', '1803', '1803', '1803', '1803', '1803', '1804', '1804', '1807', '1806', '1809', '1809', '1809', '1808', '1802', '1802', '1802', '1808', '1802', '1802', '1809', '1809', '1809', '1802', '1803', '1803', '1807', '1810', '1804', '1806', '1803', '1803', '1805', '1803', '1803', '1803', '1804', '1804', '1806', '1808', '1805', '1804', '1804', '1804', '1804']","['-74.32432', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-75.78382', '-81.43428', '-88.03679', '-88.03679', '-74.32432', '-74.32432', '-81.43428', '-74.32432', '-81.43428', '-81.43428', '-81.43428', '-88.03679', '-81.43428', '-81.43428', '-74.32432', '-81.43428', '-81.69541', '-74.32432', '-81.43428', '-75.78382', '-83.04985', '-81.43428', '-88.03679', '-78.73031', '-75.78382', '-81.43428', '-82.54906', '-81.43428', '-76.40302', '-75.78382', '-81.43428', '-74.32432', '-74.32432', '-74.32432', '-74.32432', '-88.03679', '-88.03679', '-88.03679', '-81.43428']","['41.40204', '40.3584', '40.3584', '40.3584', '40.3584', '40.3584', '40.3584', '40.1651', '40.3584', '46.90992', '46.90992', '41.40204', '41.40204', '40.3584', '41.40204', '40.3584', '40.3584', '40.3584', '46.90992', '40.3584', '40.3584', '41.40204', '40.3584', '41.4995', '41.40204', '40.3584', '40.1651', '42.08339', '40.3584', '46.90992', '40.86173', '40.1651', '40.3584', '41.3981', '40.3584', '39.94677', '40.1651', '40.3584', '41.40204', '41.40204', '41.40204', '41.40204', '46.90992', '46.90992', '46.90992', '40.3584']"
"Hays, Jewish businessman; Litchfield Co., Conn. (""Hess?, Heyse?"").",['1759'],['-75.4999'],['43.00035']
Hays.,"['1761', '1760', '1760', '1760', '1761', '1760']","['-75.4999', '-75.4999', '-75.4999', '-75.4999', '-75.4999', '-75.4999']","['43.00035', '43.00035', '43.00035', '43.00035', '43.00035', '43.00035']"
"Heber, Nicholas Klias; Nazareth.",['1798'],['-75.30962'],['40.74038']
"Heckedorn, Erhard; Christiansbrunn.",['1753'],['-81.43428'],['40.3584']
Hecket.,"['1767', '1767']","['-73.91264', '-76.55885']","['41.92676', '40.78897']"
"Heckewaelder, David.",['1754'],['-81.43428'],['40.3584']
"Heckewalder, Anna Salome.","['1803', '1806', '1801', '1801']","['-74.32432', '-74.32432', '-74.32432', '-81.43428']","['41.40204', '41.40204', '41.40204', '40.3584']"
"Heckewalder, Christian Renatus Emmaus.",['1798'],['-85.55385'],['33.97288']
"Heckewalder, Johanna Maria (""Polly"").",['1785'],['-78.73031'],['40.86173']
"Heckewalder, John, Moravian missionary.","['1780', '1781', '1774', '1774', '1781', '1774', '1774', '1774', '1774', '1774', '1778', '1782', '1782', '1783', '1773', '1778', '1778', '1778', '1777', '1774', '1774', '1777', '1777', '1777', '1777', '1777']","['-81.43428', '-81.43428', '-81.43428', '-78.73031', '-83.04575', '-78.73031', '-81.43428', '-81.43428', '-78.73031', '-78.73031', '-78.73031', '-83.04575', '-83.04575', '-81.43428', '-81.45818', '-76.40302', '-78.73031', '-81.43428', '-76.40302', '-81.43428', '-78.73031', '-81.43428', '-81.43428', '-78.73031', '-78.73031', '-81.43428']","['40.3584', '40.3584', '40.3584', '40.86173', '42.33143', '40.86173', '40.3584', '40.3584', '40.86173', '40.86173', '40.86173', '42.33143', '42.33143', '40.3584', '39.41619', '39.94677', '40.86173', '40.3584', '39.94677', '40.3584', '40.86173', '40.3584', '40.3584', '40.86173', '40.86173', '40.3584']"
"Heckewalder, John, missionary.","['1786', '1786', '1786', '1792', '1793', '1785', '1786', '1783', '1784', '1798', '1798', '1787', '1788', '1789', '1785', '1798', '1785']","['-81.71235', '-81.71235', '-81.71235', '-76.40302', '-73.26373', '-83.04575', '-83.04575', '-83.04575', '-83.04575', '-73.26373', '-83.04575', '-76.40302', '-81.45833', '-82.54906', '-83.04575', '-81.45818', '-83.04575']","['41.50366', '41.50366', '41.50366', '39.94677', '41.14121', '42.33143', '42.33143', '42.33143', '42.33143', '41.14121', '42.33143', '39.94677', '39.40972', '41.3981', '42.33143', '39.41619', '42.33143']"
"Heckewalder, John.","['1799', '1799', '1799', '1807', '1813', '1799', '1799', '1805', '1798', '1798', '1806', '1806', '1799', '1799', '1798', '1799', '1799', '1799', '1799', '1799', '1800', '1800', '1800', '1800', '1800', '1800', '1801', '1801', '1812', '1801', '1801', '1800', '1800', '1771', '1771', '1803', '1803', '1803', '1803', '1772', '1773', '1799', '1765', '1765', '1770', '1802', '1801', '1799', '1799', '1799', '1800', '1800', '1800', '1800', '1801', '1802', '1802', '1802', '1799', '1799', '1799', '1799']","['-81.43428', '-81.43428', '-81.43428', '-74.32432', '-74.32432', '-76.40302', '-81.43428', '-81.43428', '-81.43428', '-78.87837', '-78.73031', '-78.73031', '-81.43428', '-74.32432', '-82.44981', '-74.32432', '-74.32432', '-74.32432', '-81.43428', '-81.43428', '-81.43428', '-74.32432', '-74.32432', '-74.32432', '-74.32432', '-81.45623', '-74.32432', '-74.32432', '-81.31925', '-74.32432', '-74.32432', '-74.32432', '-78.73031', '-78.73031', '-76.40302', '-74.32432', '-74.32432', '-76.40302', '-74.32432', '-76.40302', '-76.40302', '-74.32432', '-76.26188', '-78.73031', '-75.61602', '-74.32432', '-80.48676', '-74.32432', '-74.32432', '-74.32432', '-81.43428', '-81.43428', '-81.43428', '-78.73031', '-74.32432', '-78.73031', '-78.73031', '-74.32432', '-78.73031', '-81.43428', '-74.32432', '-78.73031']","['40.3584', '40.3584', '40.3584', '41.40204', '41.40204', '39.94677', '40.3584', '40.3584', '40.3584', '42.88645', '40.86173', '40.86173', '40.3584', '41.40204', '42.31679', '41.40204', '41.40204', '41.40204', '40.3584', '40.3584', '40.3584', '41.40204', '41.40204', '41.40204', '41.40204', '39.40924', '41.40204', '41.40204', '35.03791', '41.40204', '41.40204', '41.40204', '40.86173', '40.86173', '39.94677', '41.40204', '41.40204', '39.94677', '41.40204', '39.94677', '39.94677', '41.40204', '41.66813', '40.86173', '40.73454', '41.40204', '39.28481', '41.40204', '41.40204', '41.40204', '40.3584', '40.3584', '40.3584', '40.86173', '41.40204', '40.86173', '40.86173', '41.40204', '40.86173', '40.3584', '41.40204', '40.86173']"
"Heckewalder, Sara.","['1803', '1807']","['-74.32432', '-74.32432']","['41.40204', '41.40204']"
"Heckewalder, Susanna, d. John and Sara Heckewalder.","['1804', '1802', '1802']","['-74.32432', '-74.32432', '-74.32432']","['41.40204', '41.40204', '41.40204']"
"Heckewalder, Susanna.","['1806', '1807', '1810']","['-74.32432', '-74.32432', '-74.32432']","['41.40204', '41.40204', '41.40204']"
Heckewalder.,"['1806', '1821']","['-84.51439', '-74.32432']","['39.12711', '41.40204']"
"Hege (al. ""Hoege""), Balthasar; Bethlehem.","['1752', '1753', '1753']","['-81.43428', '-78.73031', '-78.73031']","['40.3584', '40.86173', '40.86173']"
"Hege, Balthasar.","['1754', '1754', '1754']","['-78.73031', '-78.73031', '-78.73031']","['40.86173', '40.86173', '40.86173']"
"Hegemann, Frans, justice; Dutchess Co., New York.",['1744'],['-73.59901'],['41.92815']
"Hehl, Anna Maria, m. n. Ja[?]hne, w. of Mattaeus Hehl.",['1752'],['-81.43428'],['40.3584']
"Hehl, Anna Maria.",['1753'],['-81.43428'],['40.3584']
"Hehl, Matthaeus, Moravian bishop; Lititz, Pa.","['1781', '1781']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Hehl, Matthaeus.","['1752', '1752', '1753', '1753', '1753', '1753', '1753']","['-78.73031', '-81.43428', '-81.43428', '-81.43428', '-78.73031', '-81.43428', '-81.43428']","['40.86173', '40.3584', '40.3584', '40.3584', '40.86173', '40.3584', '40.3584']"
"Henry, James, son of William Henry; Detroit.",['1798'],['-83.04575'],['42.33143']
"Henry, James; Detroit.",['1798'],['-83.04575'],['42.33143']
"Henry, Matthew, s. William Henry.","['1800', '1800']","['-74.32432', '-83.04575']","['41.40204', '42.33143']"
"Henry, William, gunsmith; Lancaster, Pa.",['1754'],['-76.55885'],['40.78897']
"Henry, William; Lancaster, Pa.","['1804', '1732']","['-83.04575', '-76.40302']","['42.33143', '39.94677']"
"Herbach, George; formerly Graceham.",['1803'],['-74.32432'],['41.40204']
"Herbach, John, s. Samuel Herbach.",['1810'],['-74.32432'],['41.40204']
"Herbach, John.","['1804', '1805', '1810']","['-74.32432', '-74.32432', '-74.32432']","['41.40204', '41.40204', '41.40204']"
"Herbst, Johann Heinrich; Christiansbrunn.",['1753'],['-81.43428'],['40.3584']
"Hermann, Friedrich Emmanuel.","['1752', '1752', '1753']","['-81.43428', '-76.00492', '-81.43428']","['40.3584', '41.20536', '40.3584']"
"Hermann, Hendrick.",['1744'],['-73.59901'],['41.92815']
"Herr, Samuel.",['1755'],['-76.55885'],['40.78897']
"Herrmann, Friedrich Emanuel.","['1750', '1750', '1751']","['-81.43428', '-86.98636', '-81.43428']","['40.3584', '45.27262', '40.3584']"
"Herzer, Johann Heinrich; Bethlehem.",['1747'],['-81.43428'],['40.3584']
"Heyne, Johann Christoph; Bethlehem.","['1750', '1750', '1750', '1750']","['-81.43428', '-78.73031', '-85.50033', '-81.43428']","['40.3584', '40.86173', '44.25029', '40.3584']"
"Hirst, John.","['1755', '1755']","['-81.43428', '-78.73031']","['40.3584', '40.86173']"
"Hirte, Martin.","['1749', '1750', '1750', '1750']","['-81.43428', '-77.66638', '-77.66638', '-78.73031']","['40.3584', '40.12453', '40.12453', '40.86173']"
"Hirte, Martin; Bethlehem.",['1747'],['-81.43428'],['40.3584']
"Hirte, Tobias; Philadelphia later Gnadenhutten.",['1803'],['-74.32432'],['41.40204']
"Hirte; Lebanon, Pa.",['1817'],['-74.32432'],['41.40204']
"Hodel, Jacob.",['1799'],['-74.32432'],['41.40204']
"Hodel, Jacob; Gnadenhutten.","['1799', '1799', '1799']","['-76.40302', '-81.43428', '-81.43428']","['39.94677', '40.3584', '40.3584']"
"Hoefer, George (?); Lititz.",['1816'],['-74.32432'],['41.40204']
"Hoeger, Carl Friedrich Andress, architect; Bethlehem.","['1754', '1754']","['-81.43428', '-78.73031']","['40.3584', '40.86173']"
"Hoepfner, Johann Christoph.","['1755', '1755', '1749', '1749']","['-81.43428', '-81.43428', '-78.73031', '-78.73031']","['40.3584', '40.3584', '40.86173', '40.86173']"
"Hoepfner, Johann Christoph; Allmaengel.","['1749', '1749']","['-81.43428', '-78.73031']","['40.3584', '40.86173']"
"Hoff, neighbor at Goshen.",['1802'],['-81.43428'],['40.3584']
"Hoffmann, Johann Gottlob.","['1754', '1754', '1755']","['-81.43428', '-81.43428', '-81.43428']","['40.3584', '40.3584', '40.3584']"
"Hoffmann, Johann Gottlob; Christiansbrunn.","['1751', '1754']","['-81.43428', '-86.52774']","['40.3584', '31.24073']"
"Hoffmann, Martinus.",['1744'],['-76.48098'],['44.22976']
"Hoffmann, Martinus; Dutchess Co., New York.",['1742'],['-73.59901'],['41.92815']
"Hoffmann, Matthaeus.","['1748', '1750', '1750', '1755', '1750', '1750']","['-78.73031', '-81.43428', '-78.73031', '-78.73031', '-81.43428', '-78.73031']","['40.86173', '40.3584', '40.86173', '40.86173', '40.3584', '40.86173']"
"Hoffmann, Matthaeus; Bethlehem.","['1748', '1748', '1748']","['-81.43428', '-78.73031', '-81.43428']","['40.3584', '40.86173', '40.3584']"
"Holmes, Elkanah, missionary.",['1801'],['-73.26373'],['41.14121']
"Holmes, surveyor.",['1803'],['-74.32432'],['41.40204']
"Holter (al. Holder), John, Sr.","['1752', '1752']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Holter (al. Holder), John, Sr.; Allemaengel.","['1747', '1749', '1750']","['-81.43428', '-81.43428', '-81.43428']","['40.3584', '40.3584', '40.3584']"
"Holter, Andreas, s. of John, Sr. and Barbara (Volck), Holter; Christiansbrunn.","['1753', '1754', '1754']","['-81.43428', '-75.99689', '-78.73031']","['40.3584', '39.95483', '40.86173']"
"Holter, George; Bethlehem, s. John, Sr. and Barbara (Volck), Holter.","['1753', '1753', '1753']","['-81.43428', '-81.43428', '-78.73031']","['40.3584', '40.3584', '40.86173']"
"Holter, John, Jr.; Allemaengel, s. of John, Sr. and Barbara (Volck), Holter.",['1752'],['-81.43428'],['40.3584']
"Home, Mrs.; Dutchess Co., New York.",['1743'],['-73.59901'],['41.92815']
"Horn, Andreas; Bethlehem.","['1750', '1750']","['-81.43428', '-78.73031']","['40.3584', '40.86173']"
"Horsfield, Timothy.","['1755', '1751', '1751', '1744']","['-81.43428', '-81.43428', '-78.73031', '-77.24691']","['40.3584', '40.3584', '40.86173', '41.2023']"
"Horsfield, Timothy; Bethlehem.","['1748', '1750', '1750', '1750']","['-81.43428', '-81.43428', '-81.43428', '-105.63666']","['40.3584', '40.3584', '40.3584', '41.47747']"
"Hossfeld (""Hoosefield""), John Adam; Bethlehem.",['1755'],['-81.43428'],['40.3584']
"Hubener, Christina; m. n. Eschenbach, w. Ludwig Hubener.",['1803'],['-74.32432'],['41.40204']
"Hubener, Ludwig.","['1801', '1801', '1801', '1803', '1800', '1800', '1800', '1802', '1802', '1804', '1804', '1804', '1805', '1805']","['-74.32432', '-74.32432', '-74.32432', '-74.32432', '-74.32432', '-74.32432', '-74.32432', '-74.32432', '-74.32432', '-81.44567', '-81.44567', '-81.44567', '-81.44567', '-74.32432']","['41.40204', '41.40204', '41.40204', '41.40204', '41.40204', '41.40204', '41.40204', '41.40204', '41.40204', '40.48979', '40.48979', '40.48979', '40.48979', '41.40204']"
"Hubener, Ludwig; Lititz.",['1800'],['-81.43428'],['40.3584']
"Huber, Catharina, m. n. Butmansky, wid. Johann Michael Huber.",['1753'],['-81.43428'],['40.3584']
"Huber, Georg; Christiansbrunn.","['1753', '1749']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Huber, Johann Michael.",['1747'],['-78.73031'],['40.86173']
"Huebener, Ludwig, Senior.","['1755', '1755', '1755', '1755']","['-73.42123', '-73.42123', '-78.73031', '-78.73031']","['41.98343', '41.98343', '40.86173', '40.86173']"
"Huebner, Ludwig.",['1753'],['-81.43428'],['40.3584']
"Huebner, Ludwig; Bethlehem.","['1750', '1751']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Huffel, Christian Gottlieb, bishop.","['1818', '1819']","['-86.98636', '-84.97246']","['45.27262', '39.50699']"
"Hull, William, governor; Detroit, brigadier general.",['1812'],['-74.32432'],['41.40204']
"Hull, William.","['1812', '1812']","['-83.04575', '-81.69541']","['42.33143', '41.4995']"
"Hunt, Samuel; Bethlehem.",['1754'],['-81.43428'],['40.3584']
"Hunter, Peter, colonel, later general.","['1799', '1802']","['-79.48201', '-73.26373']","['44.05502', '41.14121']"
"Hunter, Peter.","['1803', '1805']","['-73.26373', '-71.99907']","['41.14121', '52.00017']"
"Hussey, Robert; Oley, Pa.","['1755', '1754']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Ingebretsen, Eric; Christiansbrunn.",['1753'],['-81.43428'],['40.3584']
"Iredell, Abraham, deputy surveyor of the Western District.","['1799', '1799']","['-73.26373', '-73.26373']","['41.14121', '41.14121']"
"Iredell, Abraham.",['1801'],['-73.26373'],['41.14121']
"Irvine, William, general.",['1781'],['-79.99589'],['40.44062']
"Isles, Samuel, Bethlehem.","['1750', '1753']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Isles, Samuel.",['1754'],['-81.43428'],['40.3584']
"Itzkiu (Iskin), captain Army commissary; New Philadelphia.",['1812'],['-74.32432'],['41.40204']
"Jacobson, Christian, captain.",['1763'],['-75.4999'],['43.00035']
Jenninga.,['1765'],['-76.26188'],['41.66813']
"Jenson, Just (""Jost""); Bethlehem.","['1755', '1763']","['-81.43428', '-75.22907']","['40.3584', '39.88539']"
"Jerome, French trader.",['1804'],['-74.32432'],['41.40204']
"Jewett, U.S. agent of Indian Affairs; Detroit.",['1803'],['-88.03679'],['46.90992']
"Johnson, John (Sir).","['1799', '1782']","['-73.26373', '-81.29975']","['41.14121', '43.08339']"
"Johnson, John, settler; Carbon Co., Pa.","['1747', '1747']","['-81.43428', '-76.55885']","['40.3584', '40.78897']"
"Johnson, William (Sir).","['1766', '1768', '1770', '1770']","['-76.34635', '-76.55885', '-75.59963', '-105.63666']","['39.94066', '40.78897', '41.94341', '41.47747']"
"Johnston (""Johnson""), William, capt., Indian interpreter.",['1798'],['-78.87837'],['42.88645']
Johnston.,"['1799', '1799']","['-76.40302', '-79.85199']","['39.94677', '40.38979']"
"Jones, Francis; Menissing.","['1748', '1748', '1748']","['-81.43428', '-81.43428', '-78.73031']","['40.3584', '40.3584', '40.86173']"
"Jones, Horatio, capt., Indian interpreter.",['1798'],['-73.95347'],['40.71427']
Jones.,['1774'],['-78.73031'],['40.86173']
"Jorde, Heinrich; Bethlehem.",['1751'],['-81.43428'],['40.3584']
"Jung, (""Young""), Michael.","['1799', '1800']","['-74.32432', '-74.32432']","['41.40204', '41.40204']"
"Jung, Michael, Moravian missionary.","['1782', '1782', '1783', '1783', '1780']","['-83.12186', '-83.04575', '-78.73031', '-78.73031', '-78.73031']","['41.35033', '42.33143', '40.86173', '40.86173', '40.86173']"
"Jung, Michael, missionary.","['1787', '1798', '1798', '1787', '1787', '1787', '1791', '1791', '1791', '1791', '1794', '1794', '1794', '1792', '1787', '1783']","['-88.03679', '-75.92687', '-73.26373', '-82.18404', '-80.99973', '-82.54906', '-83.04575', '-82.8413', '-83.14986', '-83.14986', '-83.04575', '-83.04575', '-83.04575', '-83.04575', '-76.40302', '-78.93286']","['46.90992', '40.33565', '41.14121', '41.47282', '42.2501', '41.3981', '42.33143', '41.47894', '42.04116', '42.04116', '42.33143', '42.33143', '42.33143', '42.33143', '39.94677', '42.90012']"
"Jung, Michael.","['1813', '1813']","['-78.73031', '-73.26373']","['40.86173', '41.14121']"
"Jungmann, Anna Margaretha.","['1747', '1752', '1755', '1751', '1751']","['-81.43428', '-78.73031', '-73.91264', '-78.73031', '-81.43428']","['40.3584', '40.86173', '41.92676', '40.86173', '40.3584']"
"Jungmann, Anna Rosina, d. of Johann Georg and Anna Marg. Jungmann.",['1752'],['-75.30962'],['40.74038']
"Jungmann, Johann Georg, Moravian missionary.","['1777', '1774', '1774', '1775', '1782', '1777', '1777', '1777', '1761']","['-78.73031', '-76.40302', '-76.40302', '-81.43428', '-83.12186', '-81.43428', '-76.40302', '-78.73031', '-78.73031']","['40.86173', '39.94677', '39.94677', '40.3584', '41.35033', '40.3584', '39.94677', '40.86173', '40.86173']"
"Jungmann, Johann Georg.","['1752', '1752', '1753', '1752', '1752', '1757', '1755', '1772', '1752', '1752', '1753', '1753', '1753', '1753', '1753', '1755', '1755', '1747', '1770', '1751', '1751', '1770', '1747', '1747', '1747', '1747', '1785', '1785', '1785', '1749', '1784', '1785', '1755', '1750', '1750', '1750', '1751', '1751', '1749', '1755', '1755', '1755', '1755', '1755', '1756', '1749', '1749', '1747', '1747', '1748', '1748', '1750', '1749', '1749', '1749', '1756']","['-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-81.43428', '-76.40302', '-75.78382', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-81.43428', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-81.43428', '-83.04575', '-78.73031', '-78.73031', '-83.04575', '-78.73031', '-73.91264', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-81.43428', '-78.73031', '-81.5654', '-73.91264', '-73.91264', '-73.91264', '-73.91264', '-73.91264', '-78.73031', '-78.73031', '-78.73031', '-81.43428', '-81.43428', '-81.43428', '-78.73031', '-78.73031', '-78.73031', '-78.73031', '-73.91264']","['40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.3584', '39.94677', '40.1651', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.3584', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.86173', '40.3584', '42.33143', '40.86173', '40.86173', '42.33143', '40.86173', '41.92676', '40.86173', '40.86173', '40.86173', '40.86173', '40.3584', '40.86173', '39.73618', '41.92676', '41.92676', '41.92676', '41.92676', '41.92676', '40.86173', '40.86173', '40.86173', '40.3584', '40.3584', '40.3584', '40.86173', '40.86173', '40.86173', '40.86173', '41.92676']"
"Jungmann, Johannes, son of Johann George and Anna Margaretha (Bechtel), Jungmann.","['1750', '1750']","['-81.43428', '-75.30962']","['40.3584', '40.74038']"
"Jungmann, John, son of J.G. and A.M. Jungmann, assistant missionary.","['1773', '1775', '1775']","['-78.73031', '-78.73031', '-76.3069']","['40.86173', '40.86173', '40.15732']"
"Jungmann, John.","['1799', '1799', '1799', '1799', '1799']","['-74.32432', '-81.43428', '-74.32432', '-81.43428', '-81.43428']","['41.40204', '40.3584', '41.40204', '40.3584', '40.3584']"
"Jungmann, Peter.","['1803', '1803']","['-74.32432', '-74.32432']","['41.40204', '41.40204']"
"Jungmann, s. Jacob Jungmann; Somerset.",['1805'],['-74.32432'],['41.40204']
"Kalberl[?]hn, Hans Martin.",['1753'],['-81.43428'],['40.3584']
"Kaske, Georg, missionary.","['1752', '1752']","['-81.43428', '-57.95']","['40.3584', '5.45']"
"Keegel, Gottfried; Neuwied, Germany.",['1817'],['-74.32432'],['41.40204']
"Keller, Lydia, d. Henry and Anna Mary Keller.",['1809'],['-74.32432'],['41.40204']
"Keller, Martin.",['1818'],['-74.32432'],['41.40204']
Kettner; North Carolina.,"['1803', '1803']","['-74.32432', '-74.32432']","['41.40204', '41.40204']"
"Kiefer, Marcus (""Marx"").",['1748'],['-76.55885'],['40.78897']
"Kiefer, Marcus.","['1749', '1749', '1755', '1755', '1754', '1753', '1753']","['-76.55885', '-74.56316', '-76.55885', '-78.73031', '-76.55885', '-78.73031', '-78.73031']","['40.78897', '39.71334', '40.78897', '40.86173', '40.78897', '40.86173', '40.86173']"
"Klein, Georg (""Jurgen""); Bethlehem.","['1755', '1756']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Kliest, Anna Rosina.","['1803', '1803']","['-78.73031', '-74.32432']","['40.86173', '41.40204']"
"Kliest, Anna Rosina; Bethlehem.","['1803', '1803']","['-74.32432', '-74.32432']","['41.40204', '41.40204']"
"Kliest, Daniel.","['1754', '1754']","['-81.43428', '-76.55885']","['40.3584', '40.78897']"
"Kliest, Daniel; Bethlehem.","['1754', '1754']","['-76.55885', '-78.73031']","['40.78897', '40.86173']"
"Klotz (Kloz, Glotz), Albrecht; Bethlehem, Lititz.",['1752'],['-75.20434'],['40.68899']
"Kluge, Carl Friedrich.",['1802'],['-78.73031'],['40.86173']
