person,years,factoid_lons,factoid_lats
"Ohneberg, Sara, future Mrs. Heckewalder.",['1780'],['-81.43428'],['40.3584']
"Okely, John.","['1753', '1747', '1754']","['-81.43428', '-81.43428', '-81.43428']","['40.3584', '40.3584', '40.3584']"
"Okely, William.","['1749', '1749', '1749']","['-81.43428', '-78.73031', '-81.43428']","['40.3584', '40.86173', '40.3584']"
"Oppelt, Anna Catharina, m. n. Westhoefer, w. Gottfried Sebastian Oppelt.",['1799'],['-73.26373'],['41.14121']
"Oppelt, Anna Catharina.","['1813', '1804', '1804']","['-74.32432', '-73.26373', '-88.03679']","['41.40204', '41.14121', '46.90992']"
"Oppelt, Carl Heinrich, son of Gottfried Sebastian Oppelt and Anna Catharina, m. n Westhoefer.","['1800', '1802']","['-73.26373', '-86.52774']","['41.14121', '31.24073']"
"Oppelt, Charlotte Henrietta, d. Gottfried Sebastian and Anna Catharina (Westhofer), Oppelt.","['1806', '1806']","['-82.54906', '-88.03679']","['41.3981', '46.90992']"
"Oppelt, Conrad Benjamin, s. Gottfried S. and Anna C. (Westhofer), Oppelt.",['1804'],['-73.26373'],['41.14121']
"Oppelt, Conrad Benjamin, s. Gottfried Sebastian and Anna Catharina (Westhofer), Oppelt.",['1804'],['-73.26373'],['41.14121']
"Oppelt, Friedrich Wilhelm, s. of Gottfried Sebastian and Anna Catharina (Westhofer), Oppelt.",['1802'],['-73.26373'],['41.14121']
"Oppelt, Gottfried Sebastian, missionary, h. of Anna Catharina, m. n. Westhoefer.",['1799'],['-73.26373'],['41.14121']
"Oppelt, Gottfried Sebastian.","['1800', '1802', '1802', '1803', '1804', '1804', '1804', '1799', '1799', '1799', '1806']","['-83.04575', '-73.26373', '-73.26373', '-82.54906', '-82.54906', '-82.54906', '-82.54906', '-76.40302', '-81.43428', '-73.26373', '-78.73031']","['42.33143', '41.14121', '41.14121', '41.3981', '41.3981', '41.3981', '41.3981', '39.94677', '40.3584', '41.14121', '40.86173']"
Oppelt.,"['1804', '1818', '1818', '1803', '1803', '1810', '1810', '1803', '1815', '1805', '1804', '1803', '1812', '1812', '1812', '1813', '1805', '1805', '1799', '1799', '1799', '1806', '1804', '1804', '1804', '1807', '1807', '1804', '1804', '1804', '1804', '1804', '1807', '1804', '1799', '1800', '1799', '1806']","['-88.03679', '-74.32432', '-75.30962', '-88.03679', '-82.54906', '-74.32432', '-74.32432', '-74.32432', '-74.32432', '-73.26373', '-82.54906', '-79.66632', '-74.32432', '-74.32432', '-74.32432', '-74.32432', '-74.32432', '-105.40102', '-81.43428', '-74.32432', '-74.32432', '-74.32432', '-82.54906', '-74.32432', '-88.03679', '-82.54906', '-88.03679', '-74.32432', '-74.32432', '-73.26373', '-73.26373', '-88.03679', '-78.73031', '-88.03679', '-73.26373', '-74.32432', '-74.32432', '-81.43428']","['46.90992', '41.40204', '40.74038', '46.90992', '41.3981', '41.40204', '41.40204', '41.40204', '41.40204', '41.14121', '41.3981', '43.60012', '41.40204', '41.40204', '41.40204', '41.40204', '41.40204', '53.05006', '40.3584', '41.40204', '41.40204', '41.40204', '41.3981', '41.40204', '46.90992', '41.3981', '46.90992', '41.40204', '41.40204', '41.14121', '41.14121', '46.90992', '40.86173', '46.90992', '41.14121', '41.40204', '41.40204', '40.3584']"
"Ortlieb, John.",['1754'],['-76.55885'],['40.78897']
"Ostermann, N., tailor; Susquehanna Valley, Pa.",['1754'],['-76.55885'],['40.78897']
"Otto, John Frederick, M.D.; Bethlehem.",['1749'],['-81.43428'],['40.3584']
"Otto, Matthaeus, M.D.","['1752', '1752', '1753', '1754', '1752', '1754', '1755', '1755', '1755', '1755']","['-81.43428', '-78.73031', '-81.43428', '-76.55885', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-105.63666', '-105.63666']","['40.3584', '40.86173', '40.3584', '40.78897', '40.3584', '40.3584', '40.3584', '40.3584', '41.47747', '41.47747']"
"Parke (Park), Abiah, trader.",['1797'],['-78.73031'],['40.86173']
"Parker, assistant to road surveyor.",['1802'],['-74.32432'],['41.40204']
"Parko (Park), Abiah, trader.",['1791'],['-82.54906'],['41.3981']
"Partsch, Johann Georg.",['1755'],['-81.43428'],['40.3584']
"Pauling, farmer; Susquehanna Valley.",['1798'],['-75.61602'],['40.73454']
"Paulson, Johann Heinrich; Bethlehem.",['1748'],['-78.73031'],['40.86173']
"Payne, Jasper, innkeeper; Bethlehem.","['1752', '1752']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Payne, Jasper.",['1754'],['-81.43428'],['40.3584']
"Peddicoart (""Petticoart""), Horatio; North Carolina.",['1801'],['-74.32432'],['41.40204']
"Pemberton, Israel; Phila.","['1763', '1764']","['-75.22907', '-75.16362']","['39.88539', '39.95238']"
"Penn, John.",['1764'],['-76.34635'],['39.94066']
"Peter, David, storekeeper.",['1799'],['-74.32432'],['41.40204']
"Peter, David.","['1807', '1799', '1801', '1801', '1802', '1807', '1815', '1818', '1803', '1803', '1803', '1806', '1807', '1800', '1801', '1801', '1801', '1800']","['-78.73031', '-74.32432', '-74.32432', '-74.32432', '-74.32432', '-74.32432', '-74.32432', '-74.32432', '-74.32432', '-74.32432', '-74.32432', '-74.32432', '-78.73031', '-53.21478', '-74.32432', '-74.32432', '-74.32432', '-74.32432']","['40.86173', '41.40204', '41.40204', '41.40204', '41.40204', '41.40204', '41.40204', '41.40204', '41.40204', '41.40204', '41.40204', '41.40204', '40.86173', '47.49989', '41.40204', '41.40204', '41.40204', '41.40204']"
"Peter, David; Gnadenhutten.","['1799', '1799']","['-81.43428', '-74.32432']","['40.3584', '41.40204']"
"Peter, Dorcas, m. n. Chitty, w. David Peter.","['1806', '1806', '1802']","['-81.43428', '-81.43428', '-74.32432']","['40.3584', '40.3584', '41.40204']"
"Peter, Susanna, m. n. Leinbach (II.), w. David Peter.","['1812', '1813']","['-74.32432', '-74.32432']","['41.40204', '41.40204']"
"Peterson, Hans; Christianbrunn.","['1750', '1753']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Petzold, Gottlieb.","['1750', '1748', '1753', '1753', '1749', '1749', '1749', '1752', '1751', '1750', '1762', '1755', '1755', '1755', '1749', '1750', '1750', '1751', '1751', '1751', '1755']","['-81.43428', '-78.73031', '-76.30551', '-78.73031', '-105.40102', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-105.63666', '-76.3069', '-78.73031', '-78.73031', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-81.43428', '-76.22077', '-78.73031', '-81.43428']","['40.3584', '40.86173', '40.03788', '40.86173', '53.05006', '40.3584', '40.3584', '40.3584', '40.3584', '41.47747', '40.15732', '40.86173', '40.86173', '40.3584', '40.3584', '40.3584', '40.3584', '40.3584', '41.05203', '40.86173', '40.3584']"
"Pezold, (Petzold), Gottlieb.","['1747', '1747', '1747']","['-81.43428', '-78.73031', '-81.43428']","['40.3584', '40.86173', '40.3584']"
Pezold.,['1751'],['-78.73031'],['40.86173']
"Pfeiffer, Christian (Gottfried?); Bethlehem.",['1749'],['-81.43428'],['40.3584']
"Pfeiffer, Christian.","['1751', '1753', '1753', '1754', '1754']","['-78.73031', '-76.55885', '-78.73031', '-81.43428', '-78.73031']","['40.86173', '40.78897', '40.86173', '40.3584', '40.86173']"
"Pfeiffer, Friedrich.","['1753', '1753']","['-81.43428', '-78.73031']","['40.3584', '40.86173']"
"Pfeil, Friedrich Jacob; Christiansbrunn.",['1753'],['-81.43428'],['40.3584']
"Philipps, general.",['1783'],['-78.73031'],['40.86173']
"Piesch, Anna Johanna.","['1753', '1753', '1753', '1752']","['-86.98636', '-81.43428', '-89.12368', '-81.43428']","['45.27262', '40.3584', '37.13838', '40.3584']"
"Piesch, Anna Johanna; Bethlehem, Pennsylvania.",['1753'],['-75.4999'],['43.00035']
"Pitschmann (al. Pizmann), Georg; Christiansbrunn.","['1753', '1754']","['-81.43428', '-81.43428']","['40.3584', '40.3584']"
"Post, Christian Friedrich.","['1747', '1747', '1742', '1743']","['-81.43428', '-78.73031', '-73.59901', '-78.73031']","['40.3584', '40.86173', '41.92815', '40.86173']"
"Post, Friedrich (""Ahamawaat"").","['1755', '1755', '1755']","['-81.43428', '-105.63666', '-105.63666']","['40.3584', '41.47747', '41.47747']"
"Post, Friedrich.","['1760', '1751', '1751', '1750', '1749', '1747', '1747', '1747', '1747', '1765', '1755', '1755', '1755', '1755', '1755', '1755', '1755', '1755', '1755', '1755', '1755', '1758', '1758']","['-78.73031', '-86.98636', '-81.43428', '-81.43428', '-78.73031', '-76.55885', '-76.55885', '-76.55885', '-76.55885', '-83.76132', '-76.55885', '-105.63666', '-105.63666', '-105.63666', '-78.73031', '-105.63666', '-81.43428', '-105.63666', '-81.43428', '-76.55885', '-105.63666', '-105.63666', '-105.63666']","['40.86173', '45.27262', '40.3584', '40.3584', '40.86173', '40.78897', '40.78897', '40.78897', '40.78897', '39.94145', '40.78897', '41.47747', '41.47747', '41.47747', '40.86173', '41.47747', '40.3584', '41.47747', '40.3584', '40.78897', '41.47747', '41.47747', '41.47747']"
