place_name,alternate_names,admin_level_2,admin_level_1,admin_level_0,continent,notes,feature_type,ambigous_county
Duncan's Falls,[],119,OH,,,,H,
Dundas,[],,08,,,,,
Dungannon,[],,08,,,,,
Dutchess County,[],027,NY,,,,,
East Indies,[],,,,,,,
East Jersey,[],,,,,,,
Easton,[],,PA,,,,,
Echpalawehund's Town,[],,OH,,,Delaware Settlement,,
Echquitehanok,[],,,,,,,
Elisabeth Point,[],,NJ,,,,S,
Elizabeth,['Elizabeth Point'],,NJ,,,,,
Elizabeth Point,[],,NJ,,,,S,
Elizabethtown,[],071,PA,,,,,
Emmaus,[],,PA,,,,,
England,[],,,,,,,
Ephrata,[],071,PA,,,,,
Eschebeke,[],,,,,possibliy Nescopeek,,
Eskenne River,['Hern'],,,,,,H,
Esopus,[],111,NY,,,Sopus & Kingston & Kingston & Kingston | Sopus,,
Esopus New York,['Sopus'],,,,,,,
Europe,[],,,,Europe,,,
Eva Creek,['Shamokin'],097,PA,,,Augusta Township,H,
Eva Creek,[],,,,,,H,
Fairfield,['Old Fairfield'],,CT,,,,,
Falls of the Ohio,[],,,,,,H,
Fannetsburg,[],055,PA,,,,,
Farmington,"['Firmingtown', 'Vermonthaun']",003,CT,,,,,
Fatter Lane,[],,,,,London,,
Fayette County,[],051,PA,,,,,
Ferry House,[],,,,,Thames River,,
Feuerlein,['possibliy Fire line'],,,,,,,
Fighting Island,[],,,,,below Detroit,,
Filkentown,[],027,NY,,,,,
Firelands,[],,OH,,,Erie and Huron County,,
Fish Kill,[],,PA,,,probably Northampton County,,
Fish Kill,[],027,NY,,,,,
Fish-Kill,[],027,NY,,,,,
Forks of the Delaware,[],095,PA,,,,,
Forks of the Delaware,[],,,,,,,
Forks of the Road,[],,,,,,,
Fort Adams,['also Fort St. Marys'],107,OH,,,,,
Fort Allen,[],025,PA,,,modern Weissport & Allentown,,
Fort Carteret,[],,,,,,,
Fort Charter,['properly Charters'],,,,,,,
Fort Cumberland,[],,MD,,,,,
Fort Defiance,[],039,OH,,,Maumee River,,
Fort Detroit,[],,,,,,,
Fort Edward,[],115,NY,,,,,
Fort Erie,[],,08,,,,,
Fort Hamilton,[],,,,,,,
Fort Harmer,[],,OH,,,mouth of Muskingum River,,
Fort Herkemen,[],,NY,,,Herkimer,,
Fort Hunter,[],,NY,,,,,
Fort Kanawha,['Canhawa'],,,,,,,
Fort Laurena,[],,,,,,,
Fort Laurens,"['Laurence', 'Lawrence']",,OH,,,near Bolivar,,
Fort Ligonier,[],,,,,,,
Fort Littleton,[],,PA,,,Futon County,,
Fort Loudoun,[],055,PA,,,,,
Fort Malden,[],,08,,,,,
Fort McIntosh,[],,,,,Ohio River at Beaver Creak,,
Fort McIntosh,[],007,PA,,,,,
Fort McIntosh,[],,,,,Ohio River,,
Fort Meigs,[],,OH,,,Weed County | Maumee River rapids,,
Fort Miami,[],,OH,,,Weed County | Maumee River rapids,,
Fort Niagara,[],063,NY,,,near Youngstown,,
Fort Norris,[],089,PA,,,,,
Fort Ontario,[],,NY,,,Oswego,,
Fort Oswego,[],,NY,,,,,
Fort Pitt,[],,,,,,,
Fort Plain,[],,NY,,,,,
Fort Schlosser,['Slosser'],063,NY,,,,,
Fort Schlosser,[],,,,,,,
Fort Schuyler,"['Skulker', 'Skuyler']",,NY,,,Utica,,
Fort Stanwix,[],,NY,,,Rome & original name of Fort Schuyler,,
Fort Wabash,"['Vincennes', 'Indiana']",,,,,,,
Fort Wayne,[],,IN,,,Kikeyuak | also Gigeyunk,,
Forty Mile Creek,[],,,,,,H,
Four Brothers,['Vier Bruder'],,,,,,,
Four Mile Creek,[],017,OH,,,,H,
France,[],,,FR,,,,
Franckfurth,['Frankford'],101,PA,,,,,
Frederickstown,['Friedrickstown'],091,PA,,,,,
Fredrickstown,[],,,,,,,
Freehold,[],,NY,,,Greens County,,
Freehold,[],025,NJ,,,,,
Frenchtown,[],,PA,,,,,
Friedenshutten,[],,PA,,,Bethlehem & Wyalusing | on Susquehanna,,
Friedensth also,[],,,,,,,
Friedensthal,[],,PA,,,near Nazareth,,
Fulneck,['Fulnec'],,,,,England & England,,
Gachnawage,[],,,,,,,
Gachtochwawunk,[],,,,,,,
Gallipolis,['Galliopolis'],,OH,,,Gallis County | O & Gallis County,,
Galloway's Island,[],,PA,,,Delaware River,,
Ganatissege,[],,,,,,,
Ganatocheracht,[],,,,,,,
Ganawacu,[],,,,,,,
Garochiati,[],,NY,,,Seneca town on Pemidhannek Creek,,
Gawunschiechgunk,[],,,,,St. Marys River,,
Geisterborg,['Demons Hill'],119,PA,,,Otsinachson,,
Gekelemukpechunk,['Gegelemukpechunk'],,OH,,,Newcomerstown | Kek ke la muk paechung | Kekaelemapaechunk | Kekelamukpechen | Kakelamukpechung,,
Gekelemukpechunk Creek,[],,,,,Stillwater Creek,H,
Gekelemukpechunk Delaware Center,"['Kekelemukpeachunk', 'Kikeelmukpechunk']",,OH,,,Newcomerstown,,
Genesee,[],,NY,,,,,
Genesee River,"['Chennessee', 'Tscheneshee']",,NY,,,,H,
Geneseo,[],,,,,,,
Geneseo,"['Zoneschio', 'Zonesschio']",051,NY,,,,,
Genessie River,['Chenessie'],,NY,,,near Rochester,H,
Geneva,[],069,NY,,,,,
Georgetown,[],,,,,District of Columbia,,
Georgetown,[],007,PA,,,,,
Georgetown Road,[],,,,,,,
Georgia,[],,GA,,,,,
Germantown,[],,PA,,,,,
Germantown,[],,,,,Pennsylvania,,Montgomery County
Germany,[],,,DE,,,,
Getgatain,[],,,,,,,
Gigeijunk,['Maumee'],,IN,,,Fort Wayne | town at the Forks of Miami River,,
Gigeyjunk,[],,IN,,,Fort Wayne,,
Gigeyunk,['Fort Wayne'],,,,,,,
Gigeyunk Fort Wayne,['Kikeyunk'],,IN,,,,,
Ginhanschicanunk,[],,,,,,,
Glade Country,[],,PA,,,,,
Glades Road,[],,PA,,,,,
Glass House,['?'],,,,,Highlands New York,,
Gnadenfroi,[],,,DE,,,,
Gnadenhuegel,[],,,,,part of Gnadenhutten settlement,,
Gnadenhutten,['White settlement'],157,OH,,,,,
Gnadenhutten,['Old Gnadenhutten'],,PA,,,Mahony & Lehigh River | on Mahony Creek,,
Gnadenhutten,['M.'],,OH,,,on Muskingum River,,
Gnadenhutten,[],,MI,,,River | or Clinton | on Huron,,
Gnadensee,[],,CT,,,County | Litchfield | Wechquatnach Lake | Indian Pond,,
Gnadenth also,[],,,,,,,
Gnadenthal,[],,PA,,,near Nazareth & Nazareth | modern Gracedale,,
Gnadenwinkel,[],,,,,on Gnadenhutten tract,,
Gokhosing,[],,OH,,,place in Ohio,,
Goschachging,[],,,,,,,
Goschachgunk,"['Goschachking', 'Goschaching', 'Coschachkung']",,OH,,,Coshocton & Coshocton | Delaware Town on Muskingum River,,
Goschgosching,[],,,,,,,
Goschgoschunk,[],,,,,,,
Goschgoschunk,"['Coschkoschingk', 'Coschcoschingk', 'Kuschkusching']",121,PA,,,Munsee Town on Allegheny River,,
Goschgoschunk on Allegheny River,['Coschcoshing'],,PA,,,,H,
Goschschossunk,[],,OH,,,place in Ohio | Goschschossink,,
Goshen,[],,NY,,,,,
Gothenburg,[],,,SE,,,,
Grace Half,['Fulneck'],,,,,England | Yorkshire,,
Graceham,[],,MD,,,,,
Gracehill,['Gnadenhugel'],,,IE,,,T,
Grand River,[],,OH,,,,H,
Grand River,['Schwago'],,08,,,,H,
Grand River,[],,OH,,,Cuyahoga River,H,
Granville,[],089,OH,,,,,
Great Beaver Creek,[],,,,,,H,
Great Creek,"['Ohio River', 'Lehigh River']",,,,,,H,
Great Island,[],,OH,,,above Marietta | at mouth of Muskingum River,,
Great Island,[],035,PA,,,in West Branch Susquehanna River & below Lock Haven | West Branch Susquehanna,,
Great Island,[],,,,,,,
Great Lake,[],027,NY,,,,,
Great Lakes,"['Laks', 'Lacks']",,,,,,,
Great Miami,[],,OH,,,,,
Great Miami River,[],,,,,,H,
Great Nine Partners Tract,[],027,NY,,,,,
Great Shawnee Town,[],,,,,,,
Great Swamp,[],089,PA,,,,,
Green Bay,[],,WI,,,,H,
Green County,[],,PA,,,,,Green County
Greenland,[],,,GL,,,,
Greensburg,[],129,PA,,,,,
Greentown,[],,OH,,,near Mansfield | Sambesink | Penexit's Town | also Armstrong's Town,,
Greenville,[],037,OH,,,,,
Greenwich,[],,CT,,,County | Fairfield,,
Greenwich,[],115,NY,,,,,
Grosse Isle,[],,MI,,,Detroit River,,
Guernsey County,[],059,OH,,,,,
Guinea,[],,,GN,,West Africa,,
Gulf of Lawrence,[],,,,,,H,
Hackientachous Creek,['modern Hokendaugua Creek'],,PA,,,County | Northampton | also Wilson's Creek,H,
Hagerstown,[],,MD,,,,,
Hallobank,"['Hallabank', 'Hallapank', 'Phallobank', 'Phallapank']",,,,,Cayuga Town north of Wyalusing,,
Hamilton,[],,OH,,,,,Hamilton
Hamilton's Mill,[],,IN,,,,,
Hamilton's Mills,[],,,,,,,
Hannastown,[],,PA,,,,,
Harris' Ferry,"[""also Harrison's Ferry""]",,PA,,,Harrisburg,,
Harrisburg,[],,PA,,,,,
