place_name,alternate_names,admin_level_2,admin_level_1,admin_level_0,continent,notes,feature_type,ambigous_county
Thuppeeking,[],,,,,meaning Schonbrunn | Thupaken | Thuppeekunk,,
Thuppekink,['Schonbrunn'],,,,,,,
Thuppekunk,[],,OH,,,Schonbrunn,,
Ti-a-o-ga,['Mohawk'],,,,,the forks,,
Tiaogu,[],,PA,,,,,
Tinkers Creek Cuyahoga County,"[""Dunker's Creek""]",,OH,,,,H,
Tioga,[],,,,,,,
Tioga,"['also Tiaogu', 'Tiaogu', 'Diaogu']",015,PA,,,modern Athens,,
Tioga Point,[],015,PA,,,site of Athens,S,
Tioga River,[],,NY,,,,H,
Tioga River or Creek,['Tiaogu'],,NY,,,name applied to Chemung River,H,
Tioga site of present Athens,"['Tiaogu', 'Diaugu', 'Diaoju']",,,,,Pennsylvania Geographic Names,,Bradford County
Tioginossongochto,[],,,,,,,
Tionionwaquagarõnto,[],,,,,,,
Tobihanna Creek,[],089,PA,,,,H,
Toiondo,[],,,,,Toronto,,
Tonawanda Town and Creek,['Taniwandi'],037,NY,,,,H,
Toronto,['York'],,08,,,,,
Tower Hamlets,[],,,,,England | London,,
Trenton,['Trentown'],,NJ,,,,,
Tripoli,[],,,,,,,
Trumbull County,[],155,OH,,,,,
Tschallachgasi,[],,,,,,,
Tsche-ne-sche-e,['Seneca'],,,,,a fine valley,,
Tschechachequanigk,['Schechschequanunk'],,,,,,,
Tschehantowsh,[],,,,,,,
Tschiaque Creek,[],,OH,,,East of Cuyahoga River,H,
Tschimitagan,[],,,,,,,
Tschitschiquanunk,['Schechschequanunk'],,,,,,,
Tschochnot,[],,,,,place near Wyalusing,,
Tschoniata River,[],,,,,,H,
Tulling Brook,['?'],,NY,,,,,
Tulpehocken,[],,,,,,,
Tulpehocken Berks County,['also Tulpehockin'],,PA,,,,,
Tulpenocken,[],011,PA,,,,,
Tunkhanneck,[],089,PA,,,,,
Tunkhannock,[],131,PA,,,,,
Turkey Hill,[],009,CT,,,Township of Derby,T,
Turtle Creek,[],,PA,,,Westmoreland and Allegheny County,H,
Tuscarawas,['Tuscarawi'],,OH,,,,,
Tuscarawas,['Tuscarawi'],151,OH,,,,,
Tuscarawas County,[],157,OH,,,,,
Tuscarawas River,['Tuscarawi'],,OH,,,,H,
Tuscarawas River standing for Muskingum,"['Tuscarabi', 'Delaware', 'Tuscalabi']",,OH,,,,H,
Tuscarawas Town,['Tuscarawi'],,OH,,,,,
Tuscarawi,[],,OH,,,,,
Tuscarawi Creek,[],,OH,,,,H,
Tuscarawi now Bolivar,['Tuscorawas'],,OH,,,,,
Tuscarora Creek,[],,,,,,H,
Tuscarora Mountains,[],,PA,,,between Franklin and Fulton County,T,
Tuscarora Town,['Tosgarore'],,08,,,Grand River,,
Tuscarores,[],,,,,place near Wyalusing,,
U. SouthA,[],,,,,,,
Ulator County,[],,PA,,,,,
Unami,[],,,,,Great,,
Unami River,[],,,,,,H,
Upper Canada,[],,08,,,,,
Upper Lusatia,[],,,DE,,,,
Upper Sandusky,[],,,,,,,
Upper Sandusky,[],175,OH,,,,,
Uschummo Uschummunk,[],,,,,,,
Utica,['Judica'],,,,,New York former Fort Skuyler,,
Venango,[],,,,,,,
Venango River,['French Creek'],121,PA,,,,H,
Vera Cruz Mexico,['La Vera Cruz'],,,,,,,
Vermilion Creek,[],,OH,,,also Almenisepunk,H,
Vermilion River Ohio,"['Wulamann', 'Zinneber River']",,,,,,H,
Vermillion River,['presumably'],,OH,,,,H,
Vienna,[],,,AT,,,,
Vier Bruder,['Four Brothers'],,,,,place between Gnadenhutten and Nescopeck,,
Vincennes,"['Fort Vincent', 'Post Vincennes']",,IN,,,,,
Vincennes Indiana,"['Post Vincennes', 'Post Vincent']",,,,,,,
Virgin Islands,['Danish West Indian Islands'],,,,,,,
Virginia,[],,VA,,,later State | Colony,,
Vredens Huia,[],,,,,,,
Wabash River,"['Wobash', 'Wapaasch', 'Wabbassch']",,IN,,,,H,
Wabicamigunk,[],,,,,,,
Wabisisipi,[],,MI,,,Swan River,,
Wachau,['Wachovia'],,NC,,,Moravian property in North Carolina,,
Wachovia,"['Wachau', 'Wachua']",,NC,,,,,
Wackatemake,[],,,,,,,
Wahochquage,[],007,NY,,,Ouaquage | possibliy Oquaga,,
Wajomick,[],,,,,,,
Wajomik,"['Wyoming', 'Pennsylvania']",,,,,,,
Wakotameki,['Wapitameki'],119,OH,,,near Dresden,,
Walbeck,['correctly Walpack'],,NJ,,,Lutheran mission place in New Jersey,,
Walhanding,[],,,,,,,
Walhanding Creek,[],,OH,,,,H,
Walhanding Creek modern Walhonding,"['Wahlandunk', 'Walhandunk']",,OH,,,joining the Muskingum River at Coshocton,H,
Walhanding River,['Walhanding Creek'],,,,,O,H,
Walhanding River,['Walhanding'],031,OH,,,also White Woman's Creek,H,
Wanachquaticok,"['Wannachquattagóck', 'Wannachgoattegóck', 'Wonachquaticok', 'etc.']",003,MA,,,Mass | Westenhuc & Westenhuc,,
Wanachquatikok,[],,,,,Wannoquatagoch,,
Wapwallopen,"['also Wambhallobank', 'Womphallepang', 'Waabhallobank', 'Waquallopank', 'etc.']",079,PA,,,Hollenback Township,,
Wapwallopen,[],,,,,,,
Warpoles,[],,,,,also Mittesagi,,
Warren,[],,OH,,,,,
Warren County,[],165,OH,LB,,,,
Warte,[],,PA,,,Lake Erie & Carbon or Luzerne County,,
Warwick,[],,PA,,,,,
Warwick,[],,OH,,,,,
Warwick,['Warrick'],,NY,,,,,
Warwick,[],029,PA,,,,,
Washington,[],,WA,,,District of Columbia,,
Washington County,['including also Beaver County'],125,PA,,,,,
Washington County,[],167,OH,,,,,
Washington County,[],125,PA,,,,,
Washington Road,[],,PA,,,Washington and Beaver County,,
Weapikamik,[],,,,,White River,,
Wechpakak,[],,,,,,,
Wechpakak place in Upper Susquehanna region,"['Wechpakak', 'Wiekpekat']",,,,,,,
Wechquatnach,[],005,CT,,,Mission place,,
Wechquetank,['Wequetank'],,PA,,,,,
Wechquetank,[],089,PA,,,,,
Wechquitehanek River,[],,OH,,,,H,
Weelhik Thuppeek,['Weelhik Tuppeek'],,,,,,,
Weh-to-pi-jah-neek,['Delaware'],,,,,Alder River,,
Wehtak,[],005,CT,,,Salisbury,,
Wenschigochpiechen,[],,PA,,,place in Susquehanna region,,
Wentschipaqua,[],,08,,,,,
Wequetank,[],,,,,,,
Wequetank Creek,[],089,PA,,,,H,
West Alexander,['Alexandria'],125,PA,,,,,
West Dever Township,[],,08,,,,,
West Indian Islands,[],,,,,,,
West Indies,[],,,,,,,
West River,[],,,,,,H,
Westenhuc,"['Westenhuck', 'Westenhook', 'Westenhuk']",003,MA,,,Wannaquatagoch | Massachusetts also Wanachquatikok,,
Westenhuc Moravian mission place in Massachusetts,"['Westenhuck', 'Westenhook']",,MA,,,,,
Western Sugar Creek,[],,OH,,,Stark and Tuscarawas County,H,
Westliberty,[],069,WV,,,,,
Westminster,[],,,,,Enland | London | Liberty of,,
Westmoreland County,[],129,PA,,,,,
Wheeling,"['Wuhling', 'Wilunk', 'Wiluck']",,WV,,,,,
Whi-a-lu-sis,['Delaware'],,,,,an old man,,
White Clay River,[],,,,,,H,
White Eye's Town,[],,OH,,,Coshecton County,,
White River,"['q.v.', 'also White Clay River', 'Woapikamik', 'also Woapicamikunk', 'Woapicamikunk']",,IN,,,,H,
White Stone,[],,NY,,,probably Long Island,,
White Woman's Creek,[],,,,,,H,
White Woman's Creek,"['Walbonding River', 'Walhonding Creek']",031,OH,,,,H,
White's Mill,[],007,PA,,,,,
Whitestown,[],,NY,,,site of Utica,,
Whitewater River,[],,,,,Indiana and Ohio,H,
Wihilusing,['Friedeshutten'],,PA,,,Wyalusing,,
Wilawana,[],,,,,,,
Wilawana,"['Wilawane', 'Wilawanunk', 'Wilawunk']",015,PA,,,,,
Wild Creek,['presumably Wills Creek'],031,OH,,,,H,
Wilkes-Barre,[],,PA,,,,,
Williamsburg,[],,NY,,,County | Livingston | near Mount Morris,,
Williamsburg,[],,VA,,,,,
Wills Creek,[],059,OH,,,,H,
Wilmington,[],,DE,,,,,
Wilson's Creek,['also Hackientschous Creek'],095,PA,,,,H,
Wilson's Mill,[],095,PA,,,,,
Wind Falls,[],,08,,,,H,
Windsor,[],,,,,England,,
Winginund's Town,[],,,,,,,
Wintering Place,[],,,,,,,
Wisachkim,[],,PA,,,place in Susquehanna Region,,
Wisauchsican,[],,,,,place between the Muskingum and Ohio River,,
Woachejeek Utoenink,[],,,,,,,
Woaketammeki,[],,,,,,,
Woaketammeki Muskingum County,"['Wackatomake', 'W[?]']",,OH,,,near Dresden,,
Woaketammeki Shawnee town on Muskingum River,"['Woakatammike', 'Woaktammike', 'Woaktammuk']",,OH,,,,H,
Woapicamikunk,[],,IN,,,White River | also White Clay River & White River,,
Woapicamikunk White River,['Wabicamigunk'],,IN,,,,H,
Woapikamik,[],,,,,,,
Woapikamik Sipo,[],,IN,,,White River,,
Woapikamikunk,[],,IN,,,White River | Delaware Town,,
Woapiminschijeek,['Where the chestnut trees grow'],,IN,,,,,
Woapimintshi,['Chestnut tree'],,IN,,,White River,,
Woapisitschankgissigabawik,[],,,,,,,
Woapisitschankgissigabewik,"['Swan standing on the tips of his toes', 'Wabisìtschangìasigabawit']",,08,,,,,
Wolf Creek,[],115,OH,,,,H,
Wolf Mountain,[],,,,,Pocono Mountains,T,
Wolf Mountain,[],089,PA,,,,T,
Wolf's Mountain,[],089,PA,,,,T,
Women's Town,[],,,,,,,
Wood Creek,[],065,NY,,,,H,
Woodbeck's Tavern,[],,,,,New York Geographic Names | place about halfway between Kingston and Albany,,
Woodbury,[],005,CT,,,,,
Wooster,[],169,OH,,,,,
Wulamanink,[],,OH,,,Vermilion River | Paint River,,
Wulunk,"['Wheeling', 'West Virginia']",,,,,,,
Wurtemberg,[],,,DE,,,,
Wyalusing,['Wihilusing'],,,,,,,
Wyalusing,"['Wiolousing', 'Wihilusing']",015,PA,,,Friedenshutten,,
Wyalusing Creek,['Wichlusing'],015,PA,,,,H,
Wyalusing Creek,[],,,,,,H,
Wyalusing Island,[],015,PA,,,,,
Wyandot Lower Town,[],,OH,,,Sandusky River,,
Wyandot Town,[],175,OH,,,Upper Sandusky,,
Wyandot Town,[],,,,,east bank below the lower rapids of Sandusky River,,
Wyandot Towns,[],,,,,,,
Wyoming,[],,WY,,,,,
Wyoming Hills,[],079,PA,,,,T,
Wyoming Luzerne County,"['also Wyomack', 'Wajomick', 'Yomack', 'etc.']",,PA,,,,,
Yellow Creek,[],081,OH,,,,H,
York,['Yorktown'],,PA,,,,,York
York,['Toronto'],3519,08,,,,,
York County,[],133,PA,,,,,
Yorktown,"['presumably York', 'Pennsylvania']",,VA,,,,,
Youngstown,[],,OH,,,,,Youngstown
Yrene,[],,,,,,,
Ysenburg-Budingen,[],,,DE,,,,
Ysselstein,[],,,,,Holland,,
Zanesville,[],,OH,,,Muskingum Co | Licking,,
Zeisberger Island,[],,OH,,,Muskingum River,,
Zeist,[],,,,,Holland,,
Zeninga,[],,,,,Zenenge | Zeningo,,
Zeninge,[],,,,,,,
Zeninge,"['Shenango', 'Chenango']",007,NY,,,Upper Susquehanna near Binghamton,,
Zoneschio,[],,NY,,,Zonesschio,,
Zoneschio River,[],,,,,,H,
Zurich,[],,,CH,,,,
kaskaskunk,[],,,,,,,
